DT_COMPTC,CAPTC_DIA,RESG_DIA
2006-04-05,54.926,42.701
2006-04-06,38.551,35.412
2006-04-07,51.978,39.933
2006-04-10,51.952,58.096
2006-04-11,41.978,44.702
2006-04-12,60.661,28.064
2006-04-13,45.837,25.166
2006-04-17,54.41,38.504
2006-04-18,50.579,47.477
2006-04-19,73.841,49.196
2006-04-20,52.163,74.965
2006-04-24,58.258,55.765
2006-04-25,51.64,57.714
2006-04-26,65.097,50.027
2006-04-27,50.453,54.68
2006-04-28,109.258,53.464
2006-05-02,68.371,26.417
2006-05-03,56.674,102.382
2006-05-04,54.757,39.504
2006-05-05,124.53,53.834
2006-05-08,127.961,38.144
2006-05-09,78.061,54.203
2006-05-10,84.123,41.715
2006-05-11,119.226,61.809
2006-05-12,87.309,58.281
2006-05-15,76.17,53.392
2006-05-16,112.145,69.786
2006-05-17,106.658,30.346
2006-05-18,160.237,62.325
2006-05-19,151.727,48.472
2006-05-22,121.492,31.601
2006-05-23,75.706,125.944
2006-05-24,167.57,50.151
2006-05-25,150.289,86.454
2006-05-26,110.066,32.624
2006-05-29,85.339,41.186
2006-05-30,54.762,35.328
2006-05-31,107.34,48.399
2006-06-01,68.933,28.748
2006-06-02,80.731,64.801
2006-06-05,77.503,22.512
2006-06-06,32.894,30.362
2006-06-07,28.888,47.339
2006-06-08,42.731,57.905
2006-06-09,42.284,64.62
2006-06-12,36.874,28.043
2006-06-13,107.389,55.408
2006-06-14,51.628,86.052
2006-06-16,58.635,71.874
2006-06-19,83.832,32.402
2006-06-20,98.551,31.989
2006-06-21,19.163,33.24
2006-06-22,43.8,37.401
2006-06-23,30.546,41.98
2006-06-26,50.321,72.274
2006-06-27,18.273,30.915
2006-06-28,12.013,97.21
2006-06-29,36.547,22.74
2006-06-30,52.628,16.361
2006-07-03,95.792,48.295
2006-07-04,102.541,95.952
2006-07-05,55.973,41.391
2006-07-06,26.216,41.769
2006-07-07,40.34,29.401
2006-07-10,22.37,28.693
2006-07-11,23.143,40.72
2006-07-12,19.76,44.157
2006-07-13,39.742,19.357
2006-07-14,23.563,25.127
2006-07-17,31.381,29.738
2006-07-18,25.905,38.111
2006-07-19,72.74,19.701
2006-07-20,35.727,17.709
2006-07-21,71.22,36.266
2006-07-24,18.224,13.841
2006-07-25,23.494,42.033
2006-07-26,28.631,26.944
2006-07-27,30.197,24.681
2006-07-28,71.685,39.061
2006-07-31,56.101,74.276
2006-08-01,42.1,43.303
2006-08-02,32.301,25.09
2006-08-03,44.41,23.569
2006-08-04,57.381,43.116
2006-08-07,47.908,66.072
2006-08-08,47.437,75.012
2006-08-09,86.002,26.487
2006-08-10,56.061,23.835
2006-08-11,65.361,21.688
2006-08-14,37.646,31.15
2006-08-15,57.303,40.158
2006-08-16,47.52,19.031
2006-08-17,49.334,16.482
2006-08-18,42.729,21.913
2006-08-21,152.458,25.109
2006-08-22,36.275,19.421
